"twitter","x_coord","y_coord","seguidores","seguidorespol","genero","partido","departamento","ind"
"@AABenedetti",-3.01168749630831,1.02018228975652,95573,51,"M","La U","Bogotá",0
"@AdolfoLeon_ES",1.76499943008801,-1.34606487191672,137,1,"M","La U","Valle del Cauca",1
"@afrancocastano",1.6391890628063,0.380974644254179,260,1,"F","Liberal","Caldas",2
"@AGuerraSenador",1.13637609877755,-1.46674920281898,472,5,"M","Cambio Radical","Sucre",3
"@AlbaLuzPinilla",-1.13812159064951,0.809421644887558,3206,12,"F","Polo Democrático","Santander",4
"@AlexLopezMaya",-1.41527336933261,-0.903146600160824,6026,17,"M","Polo Democrático","Valle",5
"@AlfredoRamosM",-1.13921072710848,-0.170464026261896,9045,10,"M","Centro Democrático","Antioquia",6
"@AlirioMoreno",1.37672935035298,0.563268817559939,261,0,"M","Opcion Ciudadana","Santander",7
"@AlonsoOrozcoG",1.72095658457872,1.66293748701087,159,0,"M","Polo Democrático","Caquetá",8
"@AlRangelS",-1.81440182647804,1.09926023453759,28251,22,"M","Centro Democrático","Antioquia",9
"@alvaroashton1",0.295815037235393,-0.942806881862874,456,3,"M","Liberal","Atlántico",10
"@alvarocardona_",1.27977260427491,0.596308808106074,650,0,"M","Polo Democrático","Antioquia",11
"@AndradeSenador",-0.530694225473805,-2.179535207872,2819,14,"M","Conservador","Huila",12
"@AndresCristoB",0.0295187005408233,1.06730421996646,4165,1,"M","Liberal","Norte de Santander",13
"@angelccabrera",0.511595362480956,-1.84592246959941,625,3,"M","La U","Bogotá",14
"@aodenicholls",-1.77677932957714,-0.937661744618261,1436,7,"F","Conservador","Bogotá",15
"@Arleth_Casado",0.328712558596477,-1.62507193625271,3157,15,"F","Liberal","Córdoba",16
"@Arweymaku",0.87826409728689,1.64784930332993,418,1,"M","Alianza Verde","Magdalena",17
"@AstridSanchezM",1.32855512134939,-0.492735818531169,419,2,"F","La U","Chocó",18
"@AtiQuigua",-1.32043652376209,0.681487164874476,2023,4,"F","Opiac","Bogotá",19
"@Baena",-0.752857295346538,-0.0185397172308519,22445,24,"M","Mira","Risaralda",20
"@BarrigaCarlos",-0.115234911132684,-1.14872549512799,1292,8,"M","Conservador","Norte de Santander",21
"@bcarvallos",-0.195582948216758,1.35741860040524,194,1,"F","Polo Democrático","Huila",22
"@BernabeCelis",-0.135998802519871,-2.3183175680296,722,7,"M","Cambio Radical","Santander",23
"@BernardoEliasV",-0.341932174624208,-1.11795274248506,8294,13,"M","La U","Córdoba",24
"@cacrosferro",-0.498735469730395,-0.23624753790562,857,4,"M","Polo Democrático","Risaralda",25
"@Carhermog",1.33035980514844,0.991295094936544,165,0,"M","La U","Norte de Santander",26
"@carloslozanogui",-2.30433942502198,0.564753539004122,10637,10,"M","Alianza Verde","Tolima",27
"@CarlosRamiroCH",-1.35819088390776,-1.56688278537083,5897,22,"M","Conservador","Huila",28
"@CLOPEZanalista",-3.02331109418404,1.52356683438121,150099,58,"F","Alianza Verde","Bogotá",29
"@comoure",0.945616689082855,1.84461010573655,53,1,"F","Polo Democrático","Norte de Santander",30
"@daira_galvis",0.312372576222182,-1.74102040458061,529,8,"F","Cambio Radical","Bolívar",31
"@Dcabralescast",-0.0125456492101207,-0.496181782516843,2506,4,"M","Centro Democrático","Córdoba",32
"@DiegoOteroP",-0.366200151036729,0.578859264635925,1302,4,"M","Polo Democrático","Santander",33
"@dismedicasa",1.82630169155774,0.107195101044844,286,1,"M","Conservador","Antioquia",34
"@DusanVelez",1.43774884463621,0.771650154727998,643,1,"M","Cambio Radical","Bolívar",35
"@DuvanPinedaN",0.391787004814637,1.8741946996749,735,0,"M","La U","Santander",36
"@EdgarEspindolaN",0.0882593835958208,-1.51259541303983,3363,14,"M","Opcion Ciudadana","Boyacá",37
"@EfrainCepeda",-0.531625463219538,-1.11992589279468,4137,19,"M","Conservador","Atlántico",38
"@EugenioPrieto",-0.209398780240503,-1.13989729455212,5785,26,"M","Liberal","Antioquia",39
"@EVELIODAZA",-0.225038367587457,1.05981209672483,2709,2,"M","Alianza Verde","Cesar",40
"@everthbustamant",0.143716648270484,1.25369496764922,452,1,"M","Centro Democrático","Cundinamarca",41
"@felixjosevalera",-0.314085003747089,-0.957415080021706,1197,8,"M","Alianza Verde","Cesar",42
"@ferniaraujo",-0.355128546303676,0.55925470504477,884,6,"M","Centro Democrático","Bolívar",43
"@franklinlegro",1.67416114636289,1.66731791270978,129,1,"M","Alianza Verde","Valle",44
"@German_Varon",0.283087843957317,-2.72746373346759,607,2,"M","Cambio Radical","Bogotá",45
"@GermanHoyos",-0.982169148742309,-2.01216179951418,2099,10,"M","La U","Antioquia",46
"@GGarciaRealpe",-0.0646142597207136,-2.38228496656755,3047,10,"M","Liberal","Nariño",47
"@gloria_stella",-0.227213780590288,-0.491661835649062,17392,11,"F","Mira","Bogotá",48
"@gregoriopernia",-1.68571729276135,2.56744687382316,160074,4,"M","Alianza Verde","Norte de Santander",49
"@HectorHeliRojas",-1.6959787527829,0.420387214611283,6341,16,"M","Liberal","Boyacá",50
"@heribertoeg",1.32456883069818,-1.3597760890867,248,4,"M","Opcion Ciudadana","Valle del Cauca",51
"@HeyderGomez",1.1791387110074,0.738280851216655,2469,4,"M","Mira","Valle",52
"@HoracioSerpa",-2.07549281588246,1.41147564140219,50479,42,"M","Liberal","Santander",53
"@idumaes",-2.14280773490958,-0.739348699619068,4218,9,"M","Centro Democrático","Bogotá",54
"@IsauroRoman26",0.825182361967453,1.50759906778314,160,0,"M","Polo Democrático","Bolívar",55
"@IvanCepedaCast",-2.87680891852727,1.77405991782751,172416,48,"M","Polo Democrático","Bogotá",56
"@JaimeAloZuluaga",0.362989610281143,-1.63943245365341,879,2,"M","La U","Caldas",57
"@JaimeAmin1",0.279236336068063,-0.466035432729094,141,1,"M","Centro Democrático","Atlántico",58
"@jaimeduranbar",2.02059972619758,0.838533604256928,132,0,"M","Liberal","Santander",59
"@JC_Restrepo",0.281041851083395,-1.82167780159029,753,6,"M","Cambio Radical","Cundinamarca",60
"@JDarioSalazar",-1.19035181646052,-1.54871316320331,4107,17,"M","Conservador","Cauca",61
"@JERobledo",-2.82186956434698,1.88379879450462,169171,58,"M","Polo Democrático","Tolima",62
"@JesusIgnacioGV",0.463043057154382,-1.49925969264258,367,3,"M","Liberal","Cauca",63
"@JHPedraza",0.0383903912514772,-1.36677371009999,3052,15,"M","Conservador","Boyacá",64
"@jimmychamorro",0.352949481425434,0.732726123849284,15949,2,"M","La U","Bogotá",65
"@JitoAlSenado",2.02491941356401,1.70044590279393,123,2,"M","Cambio Radical","Cesar",66
"@Jorge_PrietoR",1.22466326171841,0.778493590682408,442,1,"M","Alianza Verde","Casanare",67
"@JorgeIvanOspina",-2.89553943337276,-0.0779690642332728,14202,10,"M","Alianza Verde","Valle",68
"@JoseAlfreGnecco",-1.20103541007917,0.0961017239425923,12758,1,"M","La U","Cesar",69
"@JoseDavidName",-0.830790401909112,-1.81465308308505,18910,16,"M","La U","Atlántico",70
"@JoseNorbeyS",2.03749279544251,1.70898225119722,121,0,"M","La U","Quindío",71
"@JOSEOBDULIO",-2.86781802124556,1.01827186766581,83447,35,"M","Centro Democrático","Antioquia",72
"@jpinacue",1.63324922568161,1.54311157335055,113,0,"M","Cabildo del Resguardo de Calderas","Cauca",73
"@jromerojulio",1.87743380638,1.71635208017087,71,0,"M","Opcion Ciudadana","Atlántico",74
"@jtolozac",1.10942081020458,0.311716956321473,1618,3,"F","Mira","Antioquia",75
"@JuanCordobaSu",0.1820050197394,-1.39415461147055,2794,7,"M","Conservador","Boyacá",76
"@juanhurtadocano",1.54960053583055,1.367950096835,45,0,"M","Centro Democrático","Risaralda",77
"@JuanManuelCorzo",-0.635836213146838,-2.1049690011608,27044,20,"M","Conservador","Norte de Santander",78
"@juanmanuelgalan",-2.07278680810306,1.50569828221004,82432,45,"M","Liberal","Bogotá",79
"@JulioCMancera",-0.379212825949327,0.570749605507844,682,1,"M","Polo Democrático","Bogotá",80
"@LaureanoAcuDiaz",1.50850665379016,-0.175054653075187,440,0,"M","Conservador","Atlántico",81
"@Lidiosenado",0.733153410602209,-1.60190690627992,147,0,"M","Liberal","Bolívar",82
"@LpezVerde",0.495089743035803,0.992744920410184,295,5,"M","Alianza Verde","Córdoba",83
"@LuisEmilioSierr",1.71238333347618,-0.299015019450364,342,2,"M","Conservador","Caldas",84
"@luisfeduque",0.708800102025855,-1.3857597255499,655,9,"M","Liberal","Antioquia",85
"@LuzECaceresM",1.90464567443134,1.33510671402006,126,1,"F","Conservador","Bolívar",86
"@mabsanc",1.23258750804319,1.26253089874949,13,0,"M","Conservador","Boyacá",87
"@maisluisevelis",1.69662193839687,1.60793856646503,189,0,"M","Mais","Chocó",88
"@marceposada",-1.49263767753711,2.75640319769658,12748,2,"F","Liberal","Caldas",89
"@MarcoAvirama",1.99796617750582,1.5594508804931,79,0,"M","ASI","Cauca",90
"@Marisol_MIRA",0.988883519737069,0.496441556123485,2652,4,"F","Mira","Meta",91
"@Maritza_Senado",-0.0461092936634291,-1.29180138657936,12411,30,"F","La U","Meta",92
"@MartaLRuiz",0.114945017772465,2.29417796241881,2973,2,"F","Liberal","Bogotá",93
"@MauricioLizcano",-1.85152348229871,-0.710753240056775,14235,25,"M","La U","Caldas",94
"@mersenado",0.388228680322269,-1.71880963171248,1386,9,"M","La U","Nariño",95
"@MiguelAminEscaf",1.6211023424044,0.177103464578129,672,4,"M","La U","Atlántico",96
"@MILTONSENADOR",0.236251887300555,-2.74392350109261,732,0,"M","La U","Cundinamarca",97
"@motoasenador",-0.0755923926506186,-1.46215210540159,1725,15,"M","Cambio Radical","Valle del Cauca",98
"@MusaBesaileFa",1.3204130075765,0.348775968248655,706,0,"M","La U","Córdoba",99
"@nadiablel",1.32230439783734,0.496984204339045,1214,3,"F","Conservador","Bolívar",100
"@NataliaParraOso",-1.41773374569121,2.01601578070464,9528,4,"F","Alianza Verde","Antioquia",101
"@navarrowolff",-2.14736613491733,1.69361096539942,127273,52,"M","Alianza Verde","Nariño",102
"@NestorDanielGar",-1.4580991582873,0.618964659817556,11538,19,"M","Alianza Verde","Bogotá",103
"@NidiaMOsorio",1.42381446989873,-0.207037811094464,699,3,"F","Conservador","Antioquia",104
"@nohoratovar",0.813909024122933,1.14023453894238,274,2,"F","Centro Democrático","Meta",105
"@noragarciab",0.291335209725877,-1.57464784935178,4599,18,"F","Conservador","Córdoba",106
"@OlgaSuarezMira",-0.299703785040974,-1.27631102187829,2688,17,"F","Conservador","Antioquia",107
"@ovelandia",0.928712204895448,-1.74636105795872,510,2,"M","Liberal","Bogotá",108
"@pacheandrade",-3.2162937367958,1.89693939890121,8093,0,"M","Liberal","Nariño",109
"@paitopalmariny",1.49020939772098,1.08749262020493,86,0,"F","La U","Bogotá",110
"@PalomaValenciaL",-2.21269340151481,-0.284635688603661,22760,16,"F","Centro Democrático","Bogotá",111
"@PedroJoseArenas",-0.977480063834983,1.96810978359986,337,2,"M","Alianza Verde","Guaviare",112
"@PedroMuvdi",-1.04799036194031,0.0789441821120879,8096,3,"M","Liberal","Cesar",113
"@raulcardozoo",1.2056850663073,1.49005121834327,3,0,"M","Conservador","Santander",114
"@RigobertoBaron",0.530096423554335,0.594901708815409,447,1,"M","Centro Democrático","Boyacá",115
"@riveraguillermo",-1.68424834491835,0.700976682189058,10270,20,"M","Liberal","Putumayo",116
"@RobertoGerlein",-0.536475505689916,-1.9964347683959,2053,10,"M","Conservador","Atlántico",117
"@robertoortizu",0.931659235015176,-1.77176317541434,673,3,"M","Liberal","Valle del Cauca",118
"@RodolfoArango_R",-2.41297178709201,0.168706017989542,4822,9,"M","Polo Democrático","Bogotá",119
"@RosaMariaCorcho",-1.68176163323959,2.52053025928704,31423,2,"F","La U","Atlántico",120
"@ROsMartinezCR",0.786539285770299,-1.74062685701306,1229,4,"M","Cambio Radical","Tolima",121
"@rovillalba",-0.187632211559333,-1.79885229245425,2535,20,"M","Liberal","Huila",122
"@RoyBarreras",-2.49637815887388,-0.382270096538061,12253,23,"M","La U","Valle del Cauca",123
"@Samy_Merheg",1.62336255727866,1.57739898789782,69,0,"M","Conservador","Risaralda",124
"@Sen_MariaMulata",1.436300555551,0.180399056788895,338,1,"F","Liberal","Bolívar",125
"@SenadorAguilar",0.3951902202414,-1.61843744686419,2768,14,"M","Opcion Ciudadana","Santander",126
"@senadoramyriam",1.51353355783136,-0.219821498126354,178,3,"F","Conservador","Nariño",127
"@SenadorEdinson",-0.180212845383895,-1.64758383829125,1646,8,"M","Liberal","Valle del Cauca",128
"@senadorferro",0.0742812337222322,-2.79354573658427,1746,11,"M","La U","Cundinamarca",129
"@senadorguevara",-1.28750206770212,-1.11806353687058,4688,12,"M","Alianza Verde","Caquetá",130
"@SenadorIvanName",-0.509201631974151,-1.82412047725841,1807,15,"M","Alianza Verde","Bogotá",131
"@SenadorLaserna",-0.697263497992016,-2.15828561659749,2878,31,"M","Conservador","Tolima",132
"@senadorsoto",-0.679030495717327,-1.50044656978412,2529,12,"M","La U","Risaralda",133
"@senadorvillegas",1.6966790311512,-0.130879473413077,162,2,"M","Conservador","Valle del Cauca",134
"@SenadoYaminaP",1.638933261748,0.424217907571187,298,0,"F","Conservador","Sucre",135
"@senenmaestro",1.70790288761723,1.64963145126039,106,2,"M","Polo Democrático","Boyacá",136
"@sigifredolopez",-2.8894727458387,1.38026705728859,9147,9,"M","Liberal","Valle del Cauca",137
"@SJorgeLondono",-0.415640419393739,-0.899431024782293,2991,15,"M","Alianza Verde","Boyacá",138
"@TarsicioMora",-0.749168543046553,0.64301294116456,495,0,"M","Polo Democrático","Cundinamarca",139
"@teregarsenado",0.289314129576917,-1.77538508214759,809,6,"F","Opcion Ciudadana","Sucre",140
"@velascoluisf",-2.88822172862095,0.778745522339914,32673,46,"M","Liberal","Cauca",141
"@VictoriaVargasV",1.0659938813,1.7546100480875,76,1,"F","Liberal","Atlántico",142
"@Virguez",-0.0451568157930144,-0.894428590817868,12364,12,"M","Mira","Bolívar",143
"@WendyArenasW",1.86781001902037,0.703351911839223,382,0,"F","Liberal","Bogotá",144
"@WilmarBarbosa",1.3995977471416,0.580248991519571,716,0,"M","La U","Meta",145
"@wrodriguezcabal",2.03425312979309,1.108990921163,283,0,"M","Opcion Ciudadana","Valle del Cauca",146
"@yjimenez13",1.33494828641956,0.393011884787069,871,2,"F","La U","Bogotá",147
"@Zaida_Barrero",1.16464984288336,1.1269187482926,13,0,"F","Centro Democrático","Bogotá",148
